T: 2.000000	C: 0.738023
T: 2.010000	C: 0.737931
T: 2.020000	C: 0.749709
T: 2.030000	C: 0.777646
T: 2.040000	C: 0.806053
T: 2.050000	C: 0.829235
T: 2.060000	C: 0.852210
T: 2.070000	C: 0.853667
T: 2.080000	C: 0.903810
T: 2.090000	C: 0.941468
T: 2.100000	C: 0.959747
T: 2.110000	C: 0.972075
T: 2.120000	C: 1.023146
T: 2.130000	C: 1.049044
T: 2.140000	C: 1.120727
T: 2.150000	C: 1.150440
T: 2.160000	C: 1.150540
T: 2.170000	C: 1.231753
T: 2.180000	C: 1.276880
T: 2.190000	C: 1.440081
T: 2.200000	C: 1.467308
T: 2.210000	C: 1.481116
T: 2.220000	C: 1.600071
T: 2.230000	C: 1.787180
T: 2.240000	C: 1.705785
T: 2.250000	C: 2.057408
T: 2.260000	C: 2.230629
T: 2.270000	C: 2.252420
T: 2.280000	C: 2.613435
T: 2.290000	C: 2.504133
T: 2.300000	C: 2.180765
T: 2.310000	C: 1.795263
T: 2.320000	C: 1.732651
T: 2.330000	C: 1.509201
T: 2.340000	C: 1.437959
T: 2.350000	C: 1.411683
T: 2.360000	C: 1.306809
T: 2.370000	C: 1.218737
T: 2.380000	C: 1.221160
T: 2.390000	C: 1.151828
