1	 0.054478
2	 0.031801
3	 0.021002
4	 0.017282
5	 0.010803
6	 0.009883
7	 0.007684
8	 0.009843
9	 0.003764
10	 0.002404
11	 0.001604
12	 0.001884
13	 0.002044
14	 0.006684
15	 0.006404
16	 0.007884
17	 0.008843
18	 0.006484
19	 0.010163
20	 0.005204
21	 0.006204
22	 0.007764
23	 0.010523
24	 0.010723
25	 0.003484
26	 0.003444
27	 0.003804
28	 0.006284
29	 0.007164
30	 0.011043
31	 0.008563
32	 0.004604
33	 0.003684
34	 0.005124
35	 0.003244
36	 0.000764
37	 0.002404
38	 0.004524
39	 0.001764
40	 -0.000155
41	 0.000004
42	 0.002084
43	 0.001684
44	 0.000524
45	 0.005324
46	 0.006764
47	 0.006964
48	 0.006244
49	 0.007124
50	 0.004404
51	 0.005244
52	 0.005884
53	 0.002164
54	 0.003844
55	 0.005844
56	 0.003764
57	 0.008443
58	 0.011403
59	 0.011643
60	 0.009643
61	 0.005804
62	 0.003324
63	 0.007004
64	 0.007804
65	 0.006724
66	 0.005684
67	 0.006604
68	 0.003764
69	 0.005884
70	 0.003324
71	 0.006764
72	 0.006364
73	 0.003004
74	 0.005084
75	 0.006964
76	 0.000244
77	 0.005164
78	 0.002324
79	 0.001444
80	 0.001644
81	 0.001364
82	 0.001084
83	 0.001404
84	 0.000244
85	 0.001724
86	 0.004124
87	 0.008124
88	 0.009043
89	 0.013603
90	 0.011963
91	 0.008923
92	 0.009283
93	 0.011643
94	 0.014123
95	 0.019322
96	 0.031361
97	 0.055358
98	 0.115951
99	 -0.685353
