T: 1.500000	C: 0.199146
T: 1.550000	C: 0.226074
T: 1.600000	C: 0.263448
T: 1.650000	C: 0.300077
T: 1.700000	C: 0.338059
T: 1.750000	C: 0.383088
T: 1.800000	C: 0.441683
T: 1.850000	C: 0.494424
T: 1.900000	C: 0.554127
T: 1.950000	C: 0.634989
T: 2.000000	C: 0.725644
T: 2.050000	C: 0.829019
T: 2.100000	C: 0.997661
T: 2.150000	C: 1.165588
T: 2.200000	C: 1.453717
T: 2.250000	C: 1.785556
T: 2.300000	C: 2.013382
T: 2.350000	C: 1.471736
T: 2.400000	C: 1.180520
T: 2.450000	C: 0.942707
T: 2.500000	C: 0.873132
T: 2.550000	C: 0.762278
T: 2.600000	C: 0.699722
T: 2.650000	C: 0.649520
T: 2.700000	C: 0.594194
T: 2.750000	C: 0.557523
T: 2.800000	C: 0.506617
T: 2.850000	C: 0.479142
T: 2.900000	C: 0.452585
T: 2.950000	C: 0.429374
